dataset,model,subset,regime,f1_estimate,f1_mean,f1_ci.low,f1_ci.high,recall_estimate,recall_mean,recall_ci.low,recall_ci.high,precision_estimate,precision_mean,precision_ci.low,precision_ci.high
fb,Llama3-8B,trump,zero-shot,0.70055624,0.700571989,0.657587492,0.742103669,0.665,0.664822,0.6175,0.7125,0.830294994,0.831007213,0.795426552,0.863299391
fb,Llama3-8B,joint,zero-shot,0.593996361,0.594472533,0.547169547,0.641397362,0.5425,0.5426005,0.495,0.5900625,0.750827864,0.754002883,0.705430657,0.799538159
fb,Llama3-70B,clinton,zero-shot,0.785882038,0.785779544,0.745477976,0.824459003,0.7825,0.78222575,0.7425,0.8225,0.815762108,0.817006237,0.781339692,0.850041843
fb,Llama3-70B,trump,zero-shot,0.776384521,0.776638955,0.735872198,0.81488331,0.765,0.764884,0.7225,0.805,0.848465767,0.849750897,0.822060879,0.875338186
fb,Llama3-70B,joint,zero-shot,0.656926143,0.657480387,0.609632444,0.704045232,0.635,0.63462125,0.5875,0.6825,0.758719784,0.762048086,0.717055605,0.804036066
fb,Gemini-1.5,clinton,zero-shot,0.872239426,0.872453403,0.839257626,0.903906227,0.87,0.87012425,0.8375,0.9025,0.880563919,0.88162956,0.850964047,0.910506189
fb,Gemini-1.5,trump,zero-shot,0.897995115,0.898146615,0.869087044,0.926131872,0.895,0.89504925,0.865,0.925,0.9084478,0.909398351,0.884270228,0.933376093
fb,Gemini-1.5,joint,zero-shot,0.797836963,0.798652524,0.758793053,0.837083304,0.7925,0.79257675,0.7525,0.8325,0.818975696,0.822614327,0.784903095,0.858016329
fb,GPT-4o,clinton,zero-shot,0.910056372,0.909826467,0.88185774,0.937476512,0.91,0.90980925,0.8825,0.9375,0.911226353,0.911667815,0.884054808,0.93829444
fb,GPT-4o,trump,zero-shot,0.904384146,0.904131579,0.873160299,0.933050284,0.9075,0.907459,0.8775,0.935,0.907579167,0.908138508,0.879368994,0.935283644
fb,GPT-4o,joint,zero-shot,0.834543196,0.833915563,0.796133603,0.870150638,0.835,0.83465875,0.7975,0.87,0.847040691,0.848780383,0.813187775,0.881735793
